page,chapter,chapter_name,section,page_in_chapter,page_in_section,has_warning,warning_type
1,1,\textcolor {toctitlecolor,title_page,1,1,False,
2,1,GoldRelativity,topicmap,2,1,False,
3,1,GoldRelativity,main,3,1,False,
4,1,\textcolor {toctitlecolor,main,4,2,False,
5,1,\textcolor {toctitlecolor,main,5,3,False,
6,1,\textcolor {toctitlecolor,main,6,4,False,
7,1,\textcolor {toctitlecolor,main,7,5,False,
8,1,GoldRelativity,technical,8,1,False,
9,1,\textcolor {toctitlecolor,technical,9,2,False,
10,2,AcceleratingUniverse,title,1,1,False,
11,2,\textcolor {toctitlecolor,title_page,2,1,False,
12,2,AcceleratingUniverse,topicmap,3,1,False,
13,2,AcceleratingUniverse,main,4,1,False,
14,2,AcceleratingUniverse,main,5,2,False,
15,2,AcceleratingUniverse,main,6,3,False,
16,2,AcceleratingUniverse,main,7,4,False,
17,2,AcceleratingUniverse,main,8,5,False,
18,2,AcceleratingUniverse,technical,9,1,False,
19,2,AcceleratingUniverse,technical,10,2,False,
20,3,BanachTarskiParadox,title,1,1,False,
21,3,\textcolor {toctitlecolor,title_page,2,1,False,
22,3,BanachTarskiParadox,topicmap,3,1,False,
23,3,BanachTarskiParadox,main,4,1,False,
24,3,BanachTarskiParadox,main,5,2,False,
25,3,BanachTarskiParadox,main,6,3,False,
26,3,BanachTarskiParadox,main,7,4,False,
27,3,BanachTarskiParadox,main,8,5,False,
28,3,BanachTarskiParadox,technical,9,1,False,
29,3,BanachTarskiParadox,technical,10,2,False,
30,4,EMFieldsEnergyFlow,title,1,1,False,
31,4,\textcolor {toctitlecolor,title_page,2,1,False,
32,4,EMFieldsEnergyFlow,topicmap,3,1,False,
33,4,EMFieldsEnergyFlow,main,4,1,False,
34,4,EMFieldsEnergyFlow,main,5,2,False,
35,4,EMFieldsEnergyFlow,main,6,3,False,
36,4,EMFieldsEnergyFlow,main,7,4,False,
37,4,EMFieldsEnergyFlow,main,8,5,False,
38,4,EMFieldsEnergyFlow,technical,9,1,False,
39,4,EMFieldsEnergyFlow,technical,10,2,False,
40,5,CircleWheel,title,1,1,False,
41,5,\textcolor {toctitlecolor,title_page,2,1,False,
42,5,CircleWheel,quote,3,1,False,
43,5,CircleWheel,main,4,1,False,
44,5,CircleWheel,main,5,2,False,
45,5,CircleWheel,main,6,3,False,
46,5,CircleWheel,main,7,4,False,
47,5,CircleWheel,main,8,5,False,
48,5,CircleWheel,technical,9,1,False,
49,5,CircleWheel,technical,10,2,False,
50,6,GravityTimeDilation,title,1,1,False,
51,6,\textcolor {toctitlecolor,title_page,2,1,False,
52,6,GravityTimeDilation,quote,3,1,False,
53,6,GravityTimeDilation,main,4,1,False,
54,6,GravityTimeDilation,main,5,2,False,
55,6,GravityTimeDilation,main,6,3,False,
56,6,GravityTimeDilation,exercises,7,1,False,
57,6,GravityTimeDilation,exercises,8,2,False,
58,6,GravityTimeDilation,technical,9,1,False,
59,6,GravityTimeDilation,technical,10,2,False,
60,7,BilliardsConicsPorism,title,1,1,False,
61,7,\textcolor {toctitlecolor,title_page,2,1,False,
62,7,BilliardsConicsPorism,topicmap,3,1,False,
63,7,BilliardsConicsPorism,main,4,1,False,
64,7,BilliardsConicsPorism,main,5,2,False,
65,7,BilliardsConicsPorism,main,6,3,False,
66,7,BilliardsConicsPorism,main,7,4,False,
67,7,BilliardsConicsPorism,main,8,5,False,
68,7,BilliardsConicsPorism,technical,9,1,False,
69,7,BilliardsConicsPorism,technical,10,2,False,
70,8,BoundedPrimeGaps,title,1,1,False,
71,8,\textcolor {toctitlecolor,title_page,2,1,False,
72,8,BoundedPrimeGaps,quote,3,1,False,
73,8,BoundedPrimeGaps,main,4,1,False,
74,8,BoundedPrimeGaps,main,5,2,False,
75,8,BoundedPrimeGaps,main,6,3,False,
76,8,BoundedPrimeGaps,exercises,7,1,False,
77,8,BoundedPrimeGaps,exercises,8,2,False,
78,8,BoundedPrimeGaps,technical,9,1,False,
79,8,BoundedPrimeGaps,technical,10,2,False,
80,9,ArrowTheoremTopology,title,1,1,False,
81,9,\textcolor {toctitlecolor,title_page,2,1,False,
82,9,ArrowTheoremTopology,topicmap,3,1,False,
83,9,ArrowTheoremTopology,main,4,1,False,
84,9,ArrowTheoremTopology,main,5,2,False,
85,9,ArrowTheoremTopology,main,6,3,False,
86,9,ArrowTheoremTopology,joke,7,1,False,
87,9,ArrowTheoremTopology,joke,8,2,False,
88,9,ArrowTheoremTopology,technical,9,1,False,
89,9,ArrowTheoremTopology,technical,10,2,False,
90,10,SolarFusionQuantumTunneling,title,1,1,False,
91,10,\textcolor {toctitlecolor,title_page,2,1,False,
92,10,SolarFusionQuantumTunneling,quote,3,1,False,
93,10,SolarFusionQuantumTunneling,main,4,1,False,
94,10,SolarFusionQuantumTunneling,main,5,2,False,
95,10,SolarFusionQuantumTunneling,main,6,3,False,
96,10,SolarFusionQuantumTunneling,main,7,4,False,
97,10,SolarFusionQuantumTunneling,main,8,5,False,
98,10,SolarFusionQuantumTunneling,technical,9,1,False,
99,10,SolarFusionQuantumTunneling,technical,10,2,False,
100,11,TopologicalInsulators,title,1,1,False,
101,11,\textcolor {toctitlecolor,title_page,2,1,False,
102,11,TopologicalInsulators,topicmap,3,1,False,
103,11,TopologicalInsulators,main,4,1,False,
104,11,TopologicalInsulators,main,5,2,False,
105,11,TopologicalInsulators,main,6,3,False,
106,11,TopologicalInsulators,main,7,4,False,
107,11,TopologicalInsulators,main,8,5,False,
108,11,TopologicalInsulators,technical,9,1,False,
109,11,TopologicalInsulators,technical,10,2,False,
110,12,GSMEncryptionOrder,title,1,1,False,
111,12,\textcolor {toctitlecolor,title_page,2,1,False,
112,12,GSMEncryptionOrder,topicmap,3,1,False,
113,12,GSMEncryptionOrder,main,4,1,False,
114,12,GSMEncryptionOrder,main,5,2,False,
115,12,GSMEncryptionOrder,main,6,3,False,
116,12,GSMEncryptionOrder,main,7,4,False,
117,12,GSMEncryptionOrder,main,8,5,False,
118,12,GSMEncryptionOrder,technical,9,1,False,
119,12,GSMEncryptionOrder,technical,10,2,False,
120,13,PoissonsSpot,title,1,1,False,
121,13,\textcolor {toctitlecolor,title_page,2,1,False,
122,13,PoissonsSpot,quote,3,1,False,
123,13,PoissonsSpot,main,4,1,False,
124,13,PoissonsSpot,main,5,2,False,
125,13,PoissonsSpot,main,6,3,False,
126,13,PoissonsSpot,main,7,4,False,
127,13,PoissonsSpot,main,8,5,False,
128,13,PoissonsSpot,technical,9,1,False,
129,13,PoissonsSpot,technical,10,2,False,
130,14,CompactTwinParadox,title,1,1,False,
131,14,\textcolor {toctitlecolor,title_page,2,1,False,
132,14,CompactTwinParadox,topicmap,3,1,False,
133,14,CompactTwinParadox,main,4,1,False,
134,14,CompactTwinParadox,main,5,2,False,
135,14,CompactTwinParadox,main,6,3,False,
136,14,CompactTwinParadox,main,7,4,False,
137,14,CompactTwinParadox,main,8,5,False,
138,14,CompactTwinParadox,technical,9,1,False,
139,14,CompactTwinParadox,technical,10,2,False,
140,15,EnvelopeParadox,title,1,1,False,
141,15,\textcolor {toctitlecolor,title_page,2,1,False,
142,15,EnvelopeParadox,topicmap,3,1,False,
143,15,EnvelopeParadox,main,4,1,False,
144,15,EnvelopeParadox,main,5,2,False,
145,15,EnvelopeParadox,main,6,3,False,
146,15,EnvelopeParadox,exercises,7,1,False,
147,15,EnvelopeParadox,exercises,8,2,False,
148,15,EnvelopeParadox,technical,9,1,False,
149,15,EnvelopeParadox,technical,10,2,False,
150,16,FalseVacuumThreat,title,1,1,False,
151,16,\textcolor {toctitlecolor,title_page,2,1,False,
152,16,FalseVacuumThreat,topicmap,3,1,False,
153,16,FalseVacuumThreat,main,4,1,False,
154,16,FalseVacuumThreat,main,5,2,False,
155,16,FalseVacuumThreat,main,6,3,False,
156,16,FalseVacuumThreat,main,7,4,False,
157,16,FalseVacuumThreat,main,8,5,False,
158,16,FalseVacuumThreat,technical,9,1,False,
159,16,FalseVacuumThreat,technical,10,2,False,
160,17,BigNumbers,title,1,1,False,
161,17,\textcolor {toctitlecolor,title_page,2,1,False,
162,17,BigNumbers,topicmap,3,1,False,
163,17,BigNumbers,main,4,1,False,
164,17,BigNumbers,main,5,2,False,
165,17,BigNumbers,main,6,3,False,
166,17,BigNumbers,main,7,4,False,
167,17,BigNumbers,main,8,5,False,
168,17,BigNumbers,technical,9,1,False,
169,17,BigNumbers,technical,10,2,False,
170,18,SpeculativeExecutionAttacks,title,1,1,False,
171,18,\textcolor {toctitlecolor,title_page,2,1,False,
172,18,SpeculativeExecutionAttacks,quote,3,1,False,
173,18,SpeculativeExecutionAttacks,main,4,1,False,
174,18,SpeculativeExecutionAttacks,main,5,2,False,
175,18,SpeculativeExecutionAttacks,main,6,3,False,
176,18,SpeculativeExecutionAttacks,joke,7,1,False,
177,18,SpeculativeExecutionAttacks,joke,8,2,False,
178,18,SpeculativeExecutionAttacks,technical,9,1,False,
179,18,SpeculativeExecutionAttacks,technical,10,2,False,
180,19,CosmicRayMuons,title,1,1,False,
181,19,\textcolor {toctitlecolor,title_page,2,1,False,
182,19,CosmicRayMuons,topicmap,3,1,False,
183,19,CosmicRayMuons,main,4,1,False,
184,19,CosmicRayMuons,main,5,2,False,
185,19,CosmicRayMuons,main,6,3,False,
186,19,CosmicRayMuons,main,7,4,False,
187,19,CosmicRayMuons,main,8,5,False,
188,19,CosmicRayMuons,technical,9,1,False,
189,19,CosmicRayMuons,technical,10,2,False,
190,20,ChineseRoomArgument,title,1,1,False,
191,20,\textcolor {toctitlecolor,title_page,2,1,False,
192,20,ChineseRoomArgument,topicmap,3,1,False,
193,20,ChineseRoomArgument,main,4,1,False,
194,20,ChineseRoomArgument,main,5,2,False,
195,20,ChineseRoomArgument,main,6,3,False,
196,20,ChineseRoomArgument,main,7,4,False,
197,20,ChineseRoomArgument,main,8,5,False,
198,20,ChineseRoomArgument,technical,9,1,False,
199,20,ChineseRoomArgument,technical,10,2,False,
200,21,ExponentialMapsLieTheory,title,1,1,False,
201,21,\textcolor {toctitlecolor,title_page,2,1,False,
202,21,ExponentialMapsLieTheory,quote,3,1,False,
203,21,ExponentialMapsLieTheory,main,4,1,False,
204,21,ExponentialMapsLieTheory,main,5,2,False,
205,21,ExponentialMapsLieTheory,main,6,3,False,
206,21,ExponentialMapsLieTheory,exercises,7,1,False,
207,21,ExponentialMapsLieTheory,exercises,8,2,False,
208,21,ExponentialMapsLieTheory,technical,9,1,False,
209,21,ExponentialMapsLieTheory,technical,10,2,False,
210,22,MinecraftCreeper,title,1,1,False,
211,22,\textcolor {toctitlecolor,title_page,2,1,False,
212,22,MinecraftCreeper,topicmap,3,1,False,
213,22,MinecraftCreeper,main,4,1,False,
214,22,MinecraftCreeper,main,5,2,False,
215,22,MinecraftCreeper,main,6,3,False,
216,22,MinecraftCreeper,main,7,4,False,
217,22,MinecraftCreeper,main,8,5,False,
218,22,MinecraftCreeper,technical,9,1,False,
219,22,MinecraftCreeper,technical,10,2,False,
220,23,BlackHoleTimeDilationRedshift,title,1,1,False,
221,23,\textcolor {toctitlecolor,title_page,2,1,False,
222,23,BlackHoleTimeDilationRedshift,quote,3,1,False,
223,23,BlackHoleTimeDilationRedshift,main,4,1,False,
224,23,BlackHoleTimeDilationRedshift,main,5,2,False,
225,23,BlackHoleTimeDilationRedshift,main,6,3,False,
226,23,BlackHoleTimeDilationRedshift,main,7,4,False,
227,23,BlackHoleTimeDilationRedshift,main,8,5,False,
228,23,BlackHoleTimeDilationRedshift,technical,9,1,False,
229,23,BlackHoleTimeDilationRedshift,technical,10,2,False,
230,24,FourDSpacetime,title,1,1,False,
231,24,\textcolor {toctitlecolor,title_page,2,1,False,
232,24,FourDSpacetime,topicmap,3,1,False,
233,24,FourDSpacetime,main,4,1,False,
234,24,FourDSpacetime,main,5,2,False,
235,24,FourDSpacetime,main,6,3,False,
236,24,FourDSpacetime,exercises,7,1,False,
237,24,FourDSpacetime,exercises,8,2,False,
238,24,FourDSpacetime,technical,9,1,False,
239,24,FourDSpacetime,technical,10,2,False,
240,25,FireflyBioluminescence,title,1,1,False,
241,25,\textcolor {toctitlecolor,title_page,2,1,False,
242,25,FireflyBioluminescence,quote,3,1,False,
243,25,FireflyBioluminescence,main,4,1,False,
244,25,FireflyBioluminescence,main,5,2,False,
245,25,FireflyBioluminescence,main,6,3,False,
246,25,FireflyBioluminescence,main,7,4,False,
247,25,FireflyBioluminescence,main,8,5,False,
248,25,FireflyBioluminescence,technical,9,1,False,
249,25,FireflyBioluminescence,technical,10,2,False,
250,26,JewishCalendar,title,1,1,False,
251,26,\textcolor {toctitlecolor,title_page,2,1,False,
252,26,JewishCalendar,topicmap,3,1,False,
253,26,JewishCalendar,main,4,1,False,
254,26,JewishCalendar,main,5,2,False,
255,26,JewishCalendar,main,6,3,False,
256,26,JewishCalendar,main,7,4,False,
257,26,JewishCalendar,main,8,5,False,
258,26,JewishCalendar,technical,9,1,False,
259,26,JewishCalendar,technical,10,2,False,
260,27,PlanetarySkyColors,title,1,1,False,
261,27,\textcolor {toctitlecolor,title_page,2,1,False,
262,27,PlanetarySkyColors,topicmap,3,1,False,
263,27,PlanetarySkyColors,main,4,1,False,
264,27,PlanetarySkyColors,main,5,2,False,
265,27,PlanetarySkyColors,main,6,3,False,
266,27,PlanetarySkyColors,main,7,4,False,
267,27,PlanetarySkyColors,main,8,5,False,
268,27,PlanetarySkyColors,technical,9,1,False,
269,27,PlanetarySkyColors,technical,10,2,False,
270,28,NegativeTemp,title,1,1,False,
271,28,\textcolor {toctitlecolor,title_page,2,1,False,
272,28,NegativeTemp,topicmap,3,1,False,
273,28,NegativeTemp,main,4,1,False,
274,28,NegativeTemp,main,5,2,False,
275,28,NegativeTemp,main,6,3,False,
276,28,NegativeTemp,main,7,4,False,
277,28,NegativeTemp,main,8,5,False,
278,28,NegativeTemp,technical,9,1,False,
279,28,NegativeTemp,technical,10,2,False,
280,29,HatMonotile,title,1,1,False,
281,29,\textcolor {toctitlecolor,title_page,2,1,False,
282,29,HatMonotile,topicmap,3,1,False,
283,29,HatMonotile,main,4,1,False,
284,29,HatMonotile,main,5,2,False,
285,29,HatMonotile,main,6,3,False,
286,29,HatMonotile,main,7,4,False,
287,29,HatMonotile,main,8,5,False,
288,29,HatMonotile,technical,9,1,False,
289,29,HatMonotile,technical,10,2,False,
290,30,SimpsonsParadox,title,1,1,False,
291,30,\textcolor {toctitlecolor,title_page,2,1,False,
292,30,SimpsonsParadox,topicmap,3,1,False,
293,30,SimpsonsParadox,main,4,1,False,
294,30,SimpsonsParadox,main,5,2,False,
295,30,SimpsonsParadox,main,6,3,False,
296,30,SimpsonsParadox,main,7,4,False,
297,30,SimpsonsParadox,main,8,5,False,
298,30,SimpsonsParadox,technical,9,1,False,
299,30,SimpsonsParadox,technical,10,2,False,
300,31,osmosis_Debye,title,1,1,False,
301,31,\textcolor {toctitlecolor,title_page,2,1,False,
302,31,osmosis_Debye,topicmap,3,1,False,
303,31,osmosis_Debye,main,4,1,False,
304,31,osmosis_Debye,main,5,2,False,
305,31,osmosis_Debye,main,6,3,False,
306,31,osmosis_Debye,main,7,4,False,
307,31,osmosis_Debye,main,8,5,False,
308,31,osmosis_Debye,technical,9,1,False,
309,31,osmosis_Debye,technical,10,2,False,
310,32,AtomicClocks,title,1,1,False,
311,32,\textcolor {toctitlecolor,title_page,2,1,False,
312,32,AtomicClocks,topicmap,3,1,False,
313,32,AtomicClocks,main,4,1,False,
314,32,AtomicClocks,main,5,2,False,
315,32,AtomicClocks,main,6,3,False,
316,32,AtomicClocks,exercises,7,1,False,
317,32,AtomicClocks,exercises,8,2,False,
318,32,AtomicClocks,technical,9,1,False,
319,32,AtomicClocks,technical,10,2,False,
320,33,IncubationInequality,title,1,1,False,
321,33,\textcolor {toctitlecolor,title_page,2,1,False,
322,33,IncubationInequality,topicmap,3,1,False,
323,33,IncubationInequality,main,4,1,False,
324,33,IncubationInequality,main,5,2,False,
325,33,IncubationInequality,main,6,3,False,
326,33,IncubationInequality,main,7,4,False,
327,33,IncubationInequality,main,8,5,False,
328,33,IncubationInequality,technical,9,1,False,
329,33,IncubationInequality,technical,10,2,False,
330,34,BoltzmannBrain,title,1,1,False,
331,34,\textcolor {toctitlecolor,title_page,2,1,False,
332,34,BoltzmannBrain,topicmap,3,1,False,
333,34,BoltzmannBrain,main,4,1,False,
334,34,BoltzmannBrain,main,5,2,False,
335,34,BoltzmannBrain,main,6,3,False,
336,34,BoltzmannBrain,main,7,4,False,
337,34,BoltzmannBrain,main,8,5,False,
338,34,BoltzmannBrain,technical,9,1,False,
339,34,BoltzmannBrain,technical,10,2,False,
340,35,TreesFromAir,title,1,1,False,
341,35,\textcolor {toctitlecolor,title_page,2,1,False,
342,35,TreesFromAir,topicmap,3,1,False,
343,35,TreesFromAir,main,4,1,False,
344,35,TreesFromAir,main,5,2,False,
345,35,TreesFromAir,main,6,3,False,
346,35,TreesFromAir,main,7,4,False,
347,35,TreesFromAir,main,8,5,False,
348,35,TreesFromAir,technical,9,1,False,
349,35,TreesFromAir,technical,10,2,False,
350,36,qft_vs_gr,title,1,1,False,
351,36,\textcolor {toctitlecolor,title_page,2,1,False,
352,36,qft_vs_gr,quote,3,1,False,
353,36,qft_vs_gr,main,4,1,False,
354,36,qft_vs_gr,main,5,2,False,
355,36,qft_vs_gr,main,6,3,False,
356,36,qft_vs_gr,main,7,4,False,
357,36,qft_vs_gr,main,8,5,False,
358,36,qft_vs_gr,technical,9,1,False,
359,36,qft_vs_gr,technical,10,2,False,
360,37,DarkMatterEvidence,title,1,1,False,
361,37,\textcolor {toctitlecolor,title_page,2,1,False,
362,37,DarkMatterEvidence,topicmap,3,1,False,
363,37,DarkMatterEvidence,main,4,1,False,
364,37,DarkMatterEvidence,main,5,2,False,
365,37,DarkMatterEvidence,main,6,3,False,
366,37,DarkMatterEvidence,main,7,4,False,
367,37,DarkMatterEvidence,main,8,5,False,
368,37,DarkMatterEvidence,technical,9,1,False,
369,37,DarkMatterEvidence,technical,10,2,False,
370,38,ChristmasTruce1914,title,1,1,False,
371,38,\textcolor {toctitlecolor,title_page,2,1,False,
372,38,ChristmasTruce1914,topicmap,3,1,False,
373,38,ChristmasTruce1914,main,4,1,False,
374,38,ChristmasTruce1914,main,5,2,False,
375,38,ChristmasTruce1914,main,6,3,False,
376,38,ChristmasTruce1914,main,7,4,False,
377,38,ChristmasTruce1914,main,8,5,False,
378,38,ChristmasTruce1914,technical,9,1,False,
379,38,ChristmasTruce1914,technical,10,2,False,
380,39,SuperpermutationsBreakthrough,title,1,1,False,
381,39,\textcolor {toctitlecolor,title_page,2,1,False,
382,39,SuperpermutationsBreakthrough,quote,3,1,False,
383,39,SuperpermutationsBreakthrough,main,4,1,False,
384,39,SuperpermutationsBreakthrough,main,5,2,False,
385,39,SuperpermutationsBreakthrough,main,6,3,False,
386,39,SuperpermutationsBreakthrough,main,7,4,False,
387,39,SuperpermutationsBreakthrough,main,8,5,False,
388,39,SuperpermutationsBreakthrough,technical,9,1,False,
389,39,SuperpermutationsBreakthrough,technical,10,2,False,
390,40,DNASequencing,title,1,1,False,
391,40,\textcolor {toctitlecolor,title_page,2,1,False,
392,40,DNASequencing,topicmap,3,1,False,
393,40,DNASequencing,historical,4,1,False,
394,40,DNASequencing,main,5,1,False,
395,40,DNASequencing,main,6,2,False,
396,40,DNASequencing,main,7,3,False,
397,40,DNASequencing,main,8,4,False,
398,40,DNASequencing,technical,9,1,False,
399,40,DNASequencing,technical,10,2,False,
400,41,HoughTransfrom,title,1,1,False,
401,41,\textcolor {toctitlecolor,title_page,2,1,False,
402,41,HoughTransfrom,topicmap,3,1,False,
403,41,HoughTransfrom,main,4,1,False,
404,41,HoughTransfrom,main,5,2,False,
405,41,HoughTransfrom,main,6,3,False,
406,41,HoughTransfrom,main,7,4,False,
407,41,HoughTransfrom,main,8,5,False,
408,41,HoughTransfrom,technical,9,1,False,
409,41,HoughTransfrom,technical,10,2,False,
410,42,IceSlipperiness,title,1,1,False,
411,42,\textcolor {toctitlecolor,title_page,2,1,False,
412,42,IceSlipperiness,topicmap,3,1,False,
413,42,IceSlipperiness,main,4,1,False,
414,42,IceSlipperiness,main,5,2,False,
415,42,IceSlipperiness,main,6,3,False,
416,42,IceSlipperiness,main,7,4,False,
417,42,IceSlipperiness,main,8,5,False,
418,42,IceSlipperiness,technical,9,1,False,
419,42,IceSlipperiness,technical,10,2,False,
420,43,NearFlatUniverse,title,1,1,False,
421,43,\textcolor {toctitlecolor,title_page,2,1,False,
422,43,NearFlatUniverse,topicmap,3,1,False,
423,43,NearFlatUniverse,main,4,1,False,
424,43,NearFlatUniverse,main,5,2,False,
425,43,NearFlatUniverse,main,6,3,False,
426,43,NearFlatUniverse,main,7,4,False,
427,43,NearFlatUniverse,main,8,5,False,
428,43,NearFlatUniverse,technical,9,1,False,
429,43,NearFlatUniverse,technical,10,2,False,
430,44,IronMask,title,1,1,False,
431,44,\textcolor {toctitlecolor,title_page,2,1,False,
432,44,IronMask,topicmap,3,1,False,
433,44,IronMask,main,4,1,False,
434,44,IronMask,main,5,2,False,
435,44,IronMask,main,6,3,False,
436,44,IronMask,main,7,4,False,
437,44,IronMask,main,8,5,False,
438,44,IronMask,technical,9,1,False,
439,44,IronMask,technical,10,2,False,
440,45,MaxwellDemon,title,1,1,False,
441,45,\textcolor {toctitlecolor,title_page,2,1,False,
442,45,MaxwellDemon,topicmap,3,1,False,
443,45,MaxwellDemon,main,4,1,False,
444,45,MaxwellDemon,main,5,2,False,
445,45,MaxwellDemon,main,6,3,False,
446,45,MaxwellDemon,exercises,7,1,False,
