Person,Chapters,Subject,birth_year,death_year,birth_place,nationality,primary_field,bio_one_sentence,nobel_prize_year,nobel_prize_category
A. O. Williams,01,Early relativistic self-consistent field calculations for heavy ions | Relativistic corrections in Copper,1913,2002,"Providence, Rhode Island, USA",American,Physics (Atomic Theory and Acoustics),American physicist who calculated relativistic self-consistent fields for atomic structure and analyzed sound propagation in underwater environments.,,
Aaron ben Meïr,26,Calendar controversy (922 CE) | Challenged calendar calculation in 922 CE,unknown,unknown,Land of Israel,Jewish (Palestinian Gaonate),Rabbinic Leadership,Gaon of Eretz Yisrael academy who instigated a major controversy regarding the Jewish calendar calculation in 921--922 against Babylonian authority.,,
Aaron Schurger,50,Readiness potential interpretation | Critique of Libet's interpretation,unknown,living,unknown,American,Cognitive Neuroscience,"American cognitive neuroscientist who reinterpreted the ``readiness potential'' as stochastic neural noise accumulation, challenging Libet's evidence against free will.",,
Achraf Atila,42,Molecular dynamics simulations of ice amorphization during sliding,unknown,living,unknown,unknown,Computational Materials Science,"Computational materials scientist at the Bundesanstalt f\""ur Materialforschung und Pr\""ufung (BAM) in Berlin who co-authored molecular dynamics simulations demonstrating that cold displacement-driven amorphization dominates ice lubrication during sliding.",,
Adam Riess,02,Led High-Z Supernova Search Team | evidence for accelerating expansion | Discovery of cosmic acceleration,1969,living,"Washington, D.C., USA",American,Astrophysics,American astrophysicist who shared the 2011 Nobel Prize for the discovery of the accelerating expansion of the universe.,2011,Physics
Agustín Rayo,17,Rayo's number / Big Number Duel,1973,living,"Mexico City, Mexico",Mexican,Philosophy of Logic and Metaphysics,"Mexican philosopher and logician who defined ``Rayo's number,'' a colossal integer derived using first-order set theory.",,
Alan Finkelstein,31,Studied water flow in membranes and pores,unknown,living,United States,American,Membrane Biophysics / General Physiology,American biophysicist who elucidated the physics of water movement through lipid bilayers and membrane protein channels.,,
Alan Guth,16,Proposed cosmic inflation using false vacuum energy | Cosmic Inflation,1947,living,"New Brunswick, New Jersey, USA",American,Theoretical Physics / Cosmology,American theoretical physicist and cosmologist who developed the theory of cosmic inflation to explain the early universe's exponential expansion.,,
Alan R. Kay,31,Coauthored modern mechanical model of osmosis,unknown,living,unknown,American,Neurobiology / Physiology,American biologist who investigates the physiological roles of zinc and clarifies the mechanical and thermodynamic basis of osmosis.,,
Alan Turing,20,Proposed Turing test for machine intelligence | Turing Test,1912,1954,"London, United Kingdom",British,Mathematics and Computer Science,British mathematician who laid the foundations of computer science and broke German Enigma codes during World War II.,,
